"validation_id","distribution","evidence_grade","original_seed_stable_passes","locked_unseen_seed_stable_passes","total_seed_stable_passes","max_per_seed_passes_any_mode","ga_winner_seed_passes_total","dirichlet_signal"
"Q1R003","exwald","discovery_supported_local_candidate",4,72,76,220,0,TRUE
"Q1R005","invgauss","discovery_supported_local_candidate",13,9,22,36,0,TRUE
"Q1R018","weibull","near_gate_candidate",8,6,14,33,0,TRUE
"Q1R006","invgauss","discovery_supported_local_candidate",6,0,6,16,0,TRUE
"Q1R002","exwald","discovery_supported_local_candidate",4,0,4,15,0,TRUE
"Q1R004","invgauss","discovery_supported_local_candidate",3,0,3,20,0,TRUE
"Q1R008","lognormal","discovery_supported_local_candidate",1,0,1,18,0,TRUE
"Q1R009","lognormal","discovery_supported_local_candidate",0,1,1,14,0,TRUE
"Q1R001","exwald","discovery_supported_local_candidate",0,0,0,0,0,FALSE
"Q1R007","invgauss","discovery_supported_local_candidate",0,0,0,28,0,FALSE
"Q1R010","normal","discovery_supported_local_candidate",0,0,0,0,0,FALSE
"Q1R013","exgaussian","near_gate_candidate",0,0,0,0,0,FALSE
"Q1R014","exgaussian","near_gate_candidate",0,0,0,13,0,FALSE
"Q1R015","exgaussian","near_gate_candidate",0,0,0,0,0,FALSE
"Q1R016","normal","near_gate_candidate",0,0,0,12,0,FALSE
"Q1R017","normal","near_gate_candidate",0,0,0,0,0,FALSE
"Q1R019","weibull","near_gate_candidate",0,0,0,9,2,FALSE
