"seed","family","specialist_regime_id","regime_key","status","gate_pass","final_selected_type","ga_candidate_source","ga_candidate_protected_elite","ga_rel_improvement_q95","ga_rel_improvement_mean","profile_audit_gate_pass","global_audit_gate_pass","global_audit_interpretation","source_file"
"seed101","exwald","REG03","exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | clustered | extreme | low_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.11489434929939,0.237296044994089,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exwald/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","exwald","REG01","exwald | first_passage_right_skewed | heavy_first_passage_tail | bimodal | bimodal_mixture | extreme | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.104447786457708,0.0469045057254333,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/exwald/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed202","exwald","REG03","exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | moderate | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.206156274523984,0.247784155499269,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exwald/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed101","invgauss","REG01","invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.38200457455203,0.522122788559548,TRUE,TRUE,"profile_matched_generalization_bonus","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","invgauss","REG02","invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | moderate | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.16943618545421,0.321539653585189,TRUE,TRUE,"profile_matched_generalization_bonus","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed202","invgauss","REG03","invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | high | low_scale","evaluated",TRUE,"ga_composite","protected_previous_stage_elite",TRUE,0.0833759757127517,0.175893335047444,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","invgauss","REG02","invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | moderate | mid_high_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0532128413507237,0.175319572828388,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed101","lognormal","REG01","lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | extreme | low_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0385647600891869,0.167639172014355,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/lognormal/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed101","lognormal","REG03","lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | high | mid_high_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0382151638515249,0.136491327555242,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/lognormal/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
"seed202","normal","REG02","normal | symmetric | light_tail | symmetric | heavy_tailed_t | high | mid_high_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0699231673270278,0.0167729726109142,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/normal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed101","weibull","REG01","weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | tail_outlier | moderate | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0731968722328267,0.0829670669830249,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260606_125040/weibull/REGIME_FIRST_WINNER_SUMMARY__seed101.csv"
