"validation_id","distribution","specialist_regime_id","source_seed","validation_class","legacy_final_decision","evidence_grade","mean_gain_mean.locked_unseen_similar","q95_gain_mean.locked_unseen_similar","ci_confirmed_mean.locked_unseen_similar","mean_gain_mean.original_regime","q95_gain_mean.original_regime","ci_confirmed_mean.original_regime","regime_key","condition_summary","shape_regime","tail_regime","mechanism_regime","contamination_regime","contamination_direction","contamination_structure","rate_regime","scale_regime","severity_regime","sample_size_regime","ga_candidate_source","ga_candidate_protected_elite","protected_elite_origin","ga_rel_improvement_mean","ga_rel_improvement_q95","profile_audit_rel_improvement_mean","profile_audit_rel_improvement_q95","global_audit_rel_improvement_mean","global_audit_rel_improvement_q95","interpretive_note"
"FWVR011","weibull","REG01",101,"accepted_ga_win","marginal_ga_win","transfer_specialist",0.0278526052817564,0.027193546517965,1,-0.157735438292045,-0.450617903374471,0,"weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | tail_outlier | moderate | extreme_scale","shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={upper_tail}","right_skewed_flexible_shape","flexible_tail","upper_tail","contaminated","upper_tail","tail_outlier","moderate","extreme_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.0829670669830249,0.0731968722328267,-1.29884254323735,-0.781536816905591,-1.29884254323735,-0.781536816905591,"Fixed-weight GA candidate wins in locked unseen similar validation with CI support, but not in original-regime validation."
"FWVR012","weibull","REG02",202,"accepted_ga_win","marginal_ga_win","transfer_specialist",0.0317540937525929,0.0124849198219747,1,-0.151959669126085,-0.345630408910591,0,"weibull | right_skewed_flexible_shape | flexible_tail | point_mass | point_mass | moderate | extreme_scale","shape=right_skewed_flexible_shape | tail=flexible_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={point_mass}","right_skewed_flexible_shape","flexible_tail","point_mass","contaminated","point_mass","point_mass","moderate","extreme_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.29060334215157,0.236134009354931,-0.710327565454331,-0.470814203570943,-0.710327565454331,-0.470814203570943,"Fixed-weight GA candidate wins in locked unseen similar validation with CI support, but not in original-regime validation."
"FWVR001","exwald","REG01",101,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.110609277004609,-0.0736270797287924,0,-0.218890905443806,-0.484392686200303,0,"exwald | first_passage_right_skewed | heavy_first_passage_tail | bimodal | bimodal_mixture | extreme | extreme_scale","shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.3} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near}","first_passage_right_skewed","heavy_first_passage_tail","mixture_bimodal_near","contaminated","bimodal","bimodal_mixture","extreme","extreme_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.0469045057254333,0.104447786457708,-6.23147870940496,-5.73894035636299,-6.23147870940496,-5.73894035636299,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR002","exwald","REG03",101,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.322002284807043,-0.585770484565862,0,-0.302421982822044,-0.579434877087493,0,"exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | clustered | extreme | low_scale","shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={clustered_upper}","first_passage_right_skewed","heavy_first_passage_tail","clustered_upper","contaminated","upper_tail","clustered","extreme","low_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.237296044994089,0.11489434929939,-1.192884913252,-0.946825914146209,-1.192884913252,-0.946825914146209,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR003","exwald","REG03",202,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.0328553685493807,-0.0836504925395871,0,-0.180268017100693,-0.40415402073465,0,"exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | moderate | extreme_scale","shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={point_mass}","first_passage_right_skewed","heavy_first_passage_tail","point_mass","contaminated","point_mass","point_mass","moderate","extreme_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.247784155499269,0.206156274523984,-1.33352383310267,-1.46523108884669,-1.33352383310267,-1.46523108884669,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR004","invgauss","REG01",101,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.0843065883344674,0.0146189320893184,0,-0.362216037363301,-0.902063681947894,0,"invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale","shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;15;20} | types={upper_tail}","right_skewed_duration","heavy_right_tail","upper_tail","contaminated","upper_tail","tail_outlier","moderate","moderate_scale","moderate_severity",NA,"current_specialist_finalist",FALSE,NA,0.522122788559548,0.38200457455203,0.157391177222707,0.113546145207584,0.157391177222707,0.113546145207584,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR005","invgauss","REG02",101,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.0317542194935471,0.0262075409581573,0,-0.572201203554942,-1.64926431072152,0,"invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | moderate | extreme_scale","shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.05;0.1} | scales={30} | types={clustered_upper}","right_skewed_duration","heavy_right_tail","clustered_upper","contaminated","upper_tail","clustered","moderate","extreme_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.321539653585189,0.16943618545421,0.176141434661171,0.0913840261262258,0.176141434661171,0.0913840261262258,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR006","invgauss","REG02",202,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.0552400427008042,0.0047110472471656,0,-0.429077132000328,-1.03402299856567,0,"invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | moderate | mid_high_scale","shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=moderate_severity | rates={0.05;0.1} | scales={4.5;6;9;12;20} | types={point_mass}","right_skewed_duration","heavy_right_tail","point_mass","contaminated","point_mass","point_mass","moderate","moderate_scale","moderate_severity",NA,"current_specialist_finalist",FALSE,NA,0.175319572828388,0.0532128413507237,0.154759078249424,-0.0396525484334867,0.154759078249424,-0.0396525484334867,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR007","invgauss","REG03",202,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.115155501045274,-0.0158296786200207,0,-0.245052703450608,-0.509899721914631,0,"invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | high | low_scale","shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=high_severity | rates={0.2} | scales={3} | types={upper_tail}","right_skewed_duration","heavy_right_tail","upper_tail","contaminated","upper_tail","tail_outlier","high","low_scale","high_severity",NA,"protected_previous_stage_elite",TRUE,"previous_stage_elite",0.175893335047444,0.0833759757127517,-0.123593807779442,-0.253346729558488,-0.123593807779442,-0.253346729558488,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR008","lognormal","REG01",101,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.380735165260049,-1.2759798627577,0,-0.247628943435546,-0.852511475923007,0,"lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | extreme | low_scale","shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={clustered_upper}","right_skewed","heavy_right_tail","clustered_upper","contaminated","upper_tail","clustered","extreme","low_scale","extreme_severity",NA,"current_specialist_finalist",FALSE,NA,0.167639172014355,0.0385647600891869,-1.53053758105101,-1.41055359433117,-1.53053758105101,-1.41055359433117,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
"FWVR009","lognormal","REG03",101,"accepted_ga_win","benchmark_retained","discovery_supported_local_candidate",-0.0191470547757501,-0.00717789055679784,0,-0.432980106677661,-1.64665236662187,0,"lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | high | mid_high_scale","shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={clustered_upper}","right_skewed","heavy_right_tail","clustered_upper","contaminated","upper_tail","clustered","high","moderate_scale","high_severity",NA,"current_specialist_finalist",FALSE,NA,0.136491327555242,0.0382151638515249,-0.22598139804058,-0.327218302603201,-0.22598139804058,-0.327218302603201,"Accepted GA winner from the expanded discovery run; not confirmed by the fixed-weight validation gate."
